nse,log_nse,kgeprime,pbias,rmse,type,nq,train_years,test_years
0.7331401000584123,-0.4794381555928915,0.7123759421233928,-5.498417396694444,509.0076533920605,Raw,raw,1979-1983,1984-1985
-0.7921426144323063,0.7230616281470219,0.3482674014603331,-7.398275923845913,1319.0733204041605,DQM,5,1979-1983,1984-1985
0.57567546775989,0.748535826488246,0.7910164686610032,-1.25187728156146,641.8473072517645,DQM,10,1979-1983,1984-1985
0.6207552966098034,0.8002349249771963,0.8141264532078765,-0.5238607015539112,606.7955888671744,DQM,15,1979-1983,1984-1985
0.6226110942139704,0.8173979075974676,0.8141233641343831,0.06473913719151118,605.3091201386561,DQM,20,1979-1983,1984-1985
0.6209089784882633,0.857218538429042,0.8129605351878282,0.4717282906023597,606.6726300831356,DQM,25,1979-1983,1984-1985
0.636485997249115,0.8547387594292579,0.8197393792954573,0.5707354245497718,594.0776656148016,DQM,30,1979-1983,1984-1985
0.6318419696591302,0.8556020646262715,0.8176994725531809,0.3766683378068054,597.8604048652226,DQM,50,1979-1983,1984-1985
0.7987814913003402,-0.28379279761532916,0.7767636988840037,6.287433082508523,590.4805649281167,Raw,raw,1980-1984,1985-1986
0.7602654603193137,0.7826120633927641,0.877041373708253,1.7744307689742624,644.5208178761837,DQM,5,1980-1984,1985-1986
0.7704391152797027,0.8971478349223105,0.8649157696967525,5.45113744579558,630.6967451893631,DQM,10,1980-1984,1985-1986
0.7788683533913743,0.910578161055146,0.8723935030684393,4.324642405994798,619.0091871556435,DQM,15,1980-1984,1985-1986
0.7842647725215552,0.9070125451756874,0.8737214653996428,5.675775202591633,611.4094941946234,DQM,20,1980-1984,1985-1986
0.7743899042572807,0.8983325551056056,0.8669887915766122,4.817822456328251,625.2459823354477,DQM,25,1980-1984,1985-1986
0.7752845661641973,0.9166933777932453,0.8702209588705334,4.674685430922962,624.005037364603,DQM,30,1980-1984,1985-1986
0.7811139559123115,0.913136261866224,0.8711765087039812,5.384068391819331,615.8581329120117,DQM,50,1980-1984,1985-1986
0.7669585020900221,0.09055251787630181,0.7724446588568998,9.611799791217017,649.2844955979023,Raw,raw,1981-1985,1986-1987
0.7911812847245555,0.8169822060878668,0.8749422929641401,6.388371784261747,614.6149368034916,DQM,5,1981-1985,1986-1987
0.77350981479608,0.8290589465618449,0.8529634370644132,8.977621826523192,640.0930242618747,DQM,10,1981-1985,1986-1987
0.793362452944493,0.9117489221366276,0.8666475185426293,7.698144829590121,611.3966006363402,DQM,15,1981-1985,1986-1987
0.7856884179334584,0.9113305605292216,0.854110277660665,9.140326557836044,622.646027996157,DQM,20,1981-1985,1986-1987
0.7811316537161328,0.924235442271232,0.8529711899544219,8.999080110668732,629.2306644973652,DQM,25,1981-1985,1986-1987
0.7841174947203841,0.9331180375369827,0.8535531059375207,9.213514765626995,624.9238871424587,DQM,30,1981-1985,1986-1987
0.7841209771242342,0.929907378370266,0.8549050959644191,8.994088768017678,624.9188467939505,DQM,50,1981-1985,1986-1987
0.7838539938423998,-0.07932628902217576,0.8102494467149977,-0.10920718824063093,474.1056184371246,Raw,raw,1982-1986,1987-1988
0.7565163590783601,0.9206455870929169,0.8780495081360937,-4.1205276310508925,503.1950822046153,DQM,5,1982-1986,1987-1988
0.7534747974424959,0.922716757852976,0.8739369937798585,-5.690239737239457,506.32824709159433,DQM,10,1982-1986,1987-1988
0.7536389554567846,0.9196182193744535,0.8765189503520295,-4.681597353759529,506.1596402308217,DQM,15,1982-1986,1987-1988
0.7447782820902082,0.9218193645486966,0.8714909991305326,-4.788880687188343,515.1815580234518,DQM,20,1982-1986,1987-1988
0.7545588839431855,0.9250501579404542,0.8757727837929695,-4.855603917277555,505.21373955081714,DQM,25,1982-1986,1987-1988
0.7443496985709441,0.9314187964817785,0.8710293565086179,-5.198361943407786,515.6139383677382,DQM,30,1982-1986,1987-1988
0.7447680019558565,0.9302219167662381,0.8697881469600692,-5.6575290315207845,515.1919334772834,DQM,50,1982-1986,1987-1988
0.6781881442870183,-0.5024083428270325,0.5445277049745736,-17.136716538878467,669.0713836702662,Raw,raw,1983-1987,1988-1989
0.7540962129399074,0.7625047449156036,0.6792353951325589,-17.86080654204252,584.8628606844023,DQM,5,1983-1987,1988-1989
0.7586017165296546,0.8115754594002318,0.6858858646618661,-18.816035289669244,579.4800972902957,DQM,10,1983-1987,1988-1989
0.7468841675598107,0.8164172164561191,0.6694763710612393,-18.87812320850476,593.3775227875144,DQM,15,1983-1987,1988-1989
0.7460218928505268,0.8396040912419744,0.6765546388446487,-18.507274965881617,594.3873754920552,DQM,20,1983-1987,1988-1989
0.7549853632106484,0.8459364498347046,0.679210071748303,-18.60146736382264,583.804516042874,DQM,25,1983-1987,1988-1989
0.7554219271724361,0.8457519301632224,0.6796626720753345,-18.711534667961423,583.2841764272987,DQM,30,1983-1987,1988-1989
0.7473477298561764,0.8416436980170859,0.6719087675332032,-19.929509108319618,592.8339109930046,DQM,50,1983-1987,1988-1989
0.5590252550880801,-0.07980456767019373,0.43288998010065316,-12.481827203289063,960.9175935176414,Raw,raw,1984-1988,1989-1990
0.6691954562138993,0.6560262595887631,0.5569875547347918,-11.69615626985646,832.2714926860946,DQM,5,1984-1988,1989-1990
0.6670426001946614,0.697368248184908,0.5836565369885907,-9.957287103173414,834.9752871261956,DQM,10,1984-1988,1989-1990
0.6590473033068227,0.7473959786198977,0.5723922967226,-9.033992956775293,844.9409351283782,DQM,15,1984-1988,1989-1990
0.6607303691932984,0.7463822332250669,0.5723517938332866,-8.24678384887375,842.8528880002572,DQM,20,1984-1988,1989-1990
0.6693524517969508,0.7697011467537562,0.5799739790059384,-9.051138533059136,832.073976574051,DQM,25,1984-1988,1989-1990
0.6724650288509636,0.764975678972881,0.5885225375659172,-9.103610871850712,828.1483187503287,DQM,30,1984-1988,1989-1990
0.6654362111747241,0.7713246806912035,0.5836050191683788,-8.505121459152692,836.9870778522164,DQM,50,1984-1988,1989-1990
0.5611687236975937,0.672845001157486,0.5447932124781888,-2.7526754239372395,820.188730419656,Raw,raw,1985-1989,1990-1992
0.5597632945421943,0.6001871024712551,0.6864113289221275,3.9964475098863574,821.5010749930663,DQM,5,1985-1989,1990-1992
0.5845040907750276,0.7460434597438066,0.7038225341212703,5.8242100750567465,798.083601586262,DQM,10,1985-1989,1990-1992
0.5827591800793794,0.7447783147136839,0.7074921249836206,5.8569087903176476,799.7576561003159,DQM,15,1985-1989,1990-1992
0.5764443969454052,0.7402928280063132,0.7054228865924466,6.0793522571280345,805.7869449198184,DQM,20,1985-1989,1990-1992
0.578507244020587,0.7499517646050737,0.7083762624674328,5.57813465637466,803.8223338393418,DQM,25,1985-1989,1990-1992
0.573365398228435,0.7567685251314435,0.7058436307455883,5.652431883561617,808.7104387711366,DQM,30,1985-1989,1990-1992
0.5721882934710691,0.7556075242006974,0.7078056592896173,5.579529558187004,809.8253052113321,DQM,50,1985-1989,1990-1992
0.7821961341270519,0.30493177327421117,0.7198968751709394,-5.807009083863639,554.2078996025376,Raw,raw,1986-1990,1992-1993
0.6349739476857288,0.5729463943905495,0.8208303596478113,-4.407808821131733,717.4668683252271,DQM,5,1986-1990,1992-1993
0.696063001941001,0.8048628238138189,0.8482693847256704,0.8592568546124735,654.6839661361296,DQM,10,1986-1990,1992-1993
0.6710104673789461,0.8326357832530416,0.839631311375074,-1.6364661049562843,681.1314916654893,DQM,15,1986-1990,1992-1993
0.6799724333511141,0.827226866889516,0.8438300967538406,-1.1307480826452643,671.7901233700438,DQM,20,1986-1990,1992-1993
0.6925871634411707,0.8364292876117088,0.8489611039124612,-0.4263022848579315,658.4168232532834,DQM,25,1986-1990,1992-1993
0.6870435882849893,0.8318014205441568,0.846669478127787,-0.6681390079252094,664.3269128659595,DQM,30,1986-1990,1992-1993
0.6853841126188972,0.8376587276829054,0.8466247447809764,-1.260949588834649,666.0859066602848,DQM,50,1986-1990,1992-1993
0.7357875954406863,-0.4346231814018886,0.5863673294561598,-16.720433102684744,653.2375180831374,Raw,raw,1987-1992,1993-1994
0.6847982135652728,0.8522318461674857,0.8061958598413965,-6.416888074698826,713.4915818146575,DQM,5,1987-1992,1993-1994
0.6752433001616792,0.8300643957199507,0.8030034356472667,-9.533062143433805,724.2251094125794,DQM,10,1987-1992,1993-1994
0.6698681998874629,0.8686103491942003,0.8033458624544233,-10.07978535452957,730.1938962069415,DQM,15,1987-1992,1993-1994
