nse,log_nse,kgeprime,pbias,rmse,type,nq,train_years,test_years
0.4902696679783992,0.6936498117740354,0.6362960191047118,16.158985924535894,181.7413738563795,Raw,raw,1979-1983,1984-1985
0.485885517577611,0.33220138411828526,0.6639144505954857,20.012993166505222,182.52127210039762,DQM,10,1979-1983,1984-1985
0.49641568094275257,0.28682346357353306,0.6697351420732688,19.86346179917852,180.64238856919758,DQM,20,1979-1983,1984-1985
0.4975038979163787,0.2961558686222563,0.6707637182357494,19.98598202314491,180.44710406631003,DQM,30,1979-1983,1984-1985
0.49480646574874276,0.3108894466372466,0.6689019988541007,20.156471226142017,180.93078180054962,DQM,40,1979-1983,1984-1985
0.490470845680115,0.27057352648671185,0.6667319209072824,20.116250435381072,181.70550594949856,DQM,50,1979-1983,1984-1985
0.5325186091063845,0.6762785977119015,0.6763676509924779,19.95448413113182,213.65287527398502,Raw,raw,1980-1984,1985-1986
0.5517450685767817,0.39422215430092966,0.6780190588273701,25.761461263440363,209.21321630562838,DQM,10,1980-1984,1985-1986
0.5475956240426112,0.5034955362342085,0.678933442976162,25.543826260199324,210.17931706955787,DQM,20,1980-1984,1985-1986
0.5514901353987633,0.43793922835778076,0.6820175043553205,25.120841739755036,209.27270010074045,DQM,30,1980-1984,1985-1986
0.5475773473093039,0.3864658418826983,0.6792629732665609,25.373742779140876,210.1835625551594,DQM,40,1980-1984,1985-1986
0.5452509159380612,0.37601162970037383,0.6782237196029637,25.39806749759821,210.72326878006277,DQM,50,1980-1984,1985-1986
0.24192139462063822,0.6623563084217265,0.4891809806988704,-14.893470613712628,225.07444053239163,Raw,raw,1981-1985,1986-1987
0.27982375091668177,0.1718664701678979,0.5818943007399631,-13.167315387223974,219.37566814133177,DQM,10,1981-1985,1986-1987
0.33355000249453925,0.28289680891769164,0.5861344619546467,-10.527031570483976,211.03420108769288,DQM,20,1981-1985,1986-1987
0.30585066667391614,0.36380745420805427,0.6004869302646885,-12.250588636946675,215.3751112053732,DQM,30,1981-1985,1986-1987
0.3247904132693141,0.4076928172007549,0.6062446155224297,-12.039474972007168,212.4165540500105,DQM,40,1981-1985,1986-1987
0.30526460101890196,0.39076105857997023,0.5992830163159504,-11.918169276641473,215.46601190807044,DQM,50,1981-1985,1986-1987
0.25266254824786905,0.5067949785205326,0.3869088008655571,-10.03569050540073,242.9599955390842,Raw,raw,1982-1986,1987-1989
0.25015674715432346,0.10916282682539502,0.3824903745679037,-16.45090863592394,243.36697363493118,DQM,10,1982-1986,1987-1989
0.262474154931415,0.3335179087428938,0.4047643985853284,-14.132787844854816,241.35984565573725,DQM,20,1982-1986,1987-1989
0.24203239692524925,0.41280357324837114,0.40372648708494474,-14.490799922064678,244.68182959652756,DQM,30,1982-1986,1987-1989
0.24001255813845668,0.4495366489408369,0.4048079562825304,-14.42498761285393,245.00762784751868,DQM,40,1982-1986,1987-1989
0.2497440207875924,0.4685219553684159,0.40512274458129116,-14.18581566579174,243.43394106360302,DQM,50,1982-1986,1987-1989
0.42088465135584363,0.5511418509878401,0.4663784363232486,26.443167079451737,265.94880023901044,Raw,raw,1983-1987,1989-1990
0.4138418108005113,0.5666348657454852,0.4735261055914023,28.125808354903715,267.5610651317658,DQM,10,1983-1987,1989-1990
0.40152995886488785,0.6165933413859293,0.46182390099914017,28.78378331232567,270.35643132717667,DQM,20,1983-1987,1989-1990
0.4048852885059251,0.6225313084960564,0.46371179320460054,28.730742040323936,269.5974877478578,DQM,30,1983-1987,1989-1990
0.4028104972630271,0.6210118754921223,0.46341288728848273,28.81610066682446,270.0670374085808,DQM,40,1983-1987,1989-1990
0.4046224050338306,0.6260666234383808,0.46429314169062763,28.805231521443723,269.6570266041924,DQM,50,1983-1987,1989-1990
