nse,log_nse,kgeprime,pbias,rmse,type,nq,train_years,test_years
0.5937658801840818,0.7076350875455577,0.5151362792473015,1.6498011504899581,265.6812697913104,Raw,raw,1979-1983,1984-1985
0.6460726547348021,0.3340480485263999,0.7290814036999129,16.826566172049393,247.98750484668878,DQM,5,1979-1983,1984-1985
0.6528863206226565,0.2756594912529592,0.730412054692319,17.74967989081121,245.58882665084653,DQM,10,1979-1983,1984-1985
0.64789821184651,0.28154367178429374,0.7197941851903984,17.44876539990979,247.3471182730223,DQM,15,1979-1983,1984-1985
0.6263624747205213,0.26519241714480746,0.6947389810974739,15.147179461117675,254.7991548338871,DQM,20,1979-1983,1984-1985
0.6452721837071804,0.2713026234651018,0.7145943132812964,17.40178051619638,248.2677808728732,DQM,25,1979-1983,1984-1985
0.6333935829890173,0.2651043211798161,0.7016412110171213,15.651274373860607,252.39036453128722,DQM,30,1979-1983,1984-1985
0.6320252963644976,0.2719441096006525,0.7002815721878834,15.573818347243257,252.86092466498152,DQM,50,1979-1983,1984-1985
0.6606959387871282,0.6722562762811882,0.5783105186838537,6.070258337177021,305.39800127317943,Raw,raw,1980-1984,1985-1986
0.6313670641729147,0.7288918116689574,0.7748581762754819,11.258255564130472,318.32352032559567,DQM,5,1980-1984,1985-1986
0.6501409514062011,0.731663945793054,0.7923031280862547,9.618806683535517,310.11174650600714,DQM,10,1980-1984,1985-1986
0.6515351237144121,0.7294727123921443,0.7931723066895258,9.542911334475512,309.49323914643645,DQM,15,1980-1984,1985-1986
0.6352673996741187,0.7199379625738859,0.7928587675820781,7.931521657645623,316.6350247895695,DQM,20,1980-1984,1985-1986
0.6406912694216707,0.7287703551735325,0.7917903347691112,8.754963280306132,314.27189659033877,DQM,25,1980-1984,1985-1986
0.6409722175305521,0.7294810748781676,0.7926807546355275,8.58763085212513,314.1490059480739,DQM,30,1980-1984,1985-1986
0.6400094042122072,0.7307607991303614,0.7931708237370086,8.265412919338221,314.5699543397456,DQM,50,1980-1984,1985-1986
0.6560389935135434,0.707025881191586,0.6165357820356658,3.172758745545411,279.1073684970011,Raw,raw,1981-1985,1986-1988
0.587076256738936,0.825232203463953,0.7906790094625333,2.492028038354502,305.8099589101415,DQM,5,1981-1985,1986-1988
0.6023129255653816,0.8178812710237151,0.7915282700805846,3.9453421076036435,300.1148148798383,DQM,10,1981-1985,1986-1988
0.5809734037088502,0.8037807062845166,0.7845854955225128,3.013125752242868,308.06154641394846,DQM,15,1981-1985,1986-1988
0.5987477572279711,0.8118953821089736,0.7941762227927568,2.8973426347441387,301.4570417339727,DQM,20,1981-1985,1986-1988
0.57841403458901,0.8096767880010298,0.7869464398827322,1.7795717793846262,309.0009175030143,DQM,25,1981-1985,1986-1988
0.5952904872459498,0.8160128503337252,0.7919582745384042,3.1897828238196184,302.7529634753406,DQM,30,1981-1985,1986-1988
0.5964796989789687,0.8161283208828812,0.793280157262801,2.977376836376931,302.30782660465405,DQM,50,1981-1985,1986-1988
0.576811422656134,0.5322304609571477,0.48365136897047856,-10.877435633464748,344.6623211942688,Raw,raw,1982-1986,1988-1989
0.6580801800839833,0.5989659748012628,0.7538146633845826,-13.80194605951934,309.8053963027354,DQM,5,1982-1986,1988-1989
0.646619541868569,0.6177037903137849,0.750115050191926,-15.278168474885085,314.9547081577023,DQM,10,1982-1986,1988-1989
0.6347650415358437,0.6163580869082634,0.7347692421633565,-15.877994967710494,320.19386747383766,DQM,15,1982-1986,1988-1989
0.6558597861993537,0.6203633751069291,0.749385953245808,-14.855881060823968,310.8096914710952,DQM,20,1982-1986,1988-1989
0.6462394453167111,0.619612477755118,0.7391277628950084,-15.570138221399969,315.12404551377966,DQM,25,1982-1986,1988-1989
0.6457495868403291,0.6190074682593416,0.737204729641016,-15.653958196173846,315.342148947495,DQM,30,1982-1986,1988-1989
0.6437342380444633,0.6235228776036159,0.7406578473855996,-15.966874796779432,316.2378756366348,DQM,50,1982-1986,1988-1989
0.5419242502912098,0.5602780620184099,0.45454425773106033,0.21806237820558058,407.94495200448347,Raw,raw,1983-1988,1989-1990
0.6902938081065935,0.6221878249919633,0.7576619319693001,7.308881921226165,335.4345992790396,DQM,5,1983-1988,1989-1990
0.6939171214101725,0.7802459440978169,0.7639150721084669,7.1956400156244245,333.46666905870677,DQM,10,1983-1988,1989-1990
0.6946378217253504,0.6764099601152851,0.7613669391859672,7.368838790380881,333.07384870413557,DQM,15,1983-1988,1989-1990
0.6880383311519636,0.6691565098195013,0.7663353875365647,5.888350280742798,336.6538073133815,DQM,20,1983-1988,1989-1990
0.6924047603060812,0.7251625139787616,0.7682445222082755,6.4760173281080595,334.2894863791999,DQM,25,1983-1988,1989-1990
0.6864817063422559,0.7848460947712593,0.764978203315454,6.206321505444647,337.4926789268961,DQM,30,1983-1988,1989-1990
0.6707458070368104,0.7800011287529118,0.7639200560204421,5.47525347214672,345.8585927522493,DQM,50,1983-1988,1989-1990
