nse,kgeprime,pbias,rmse,type,nq,train_start,train_end,train_n,test_start,test_end,test_n
-0.8407617951196342,0.8972427960570488,1.3997547215182018,932.633815375269,Raw,raw,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.8425120419707166,0.8667317131437177,6.402929744493728,962.4900787227199,DQM,5,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.8453856833651703,0.8694333054008887,6.091248973890206,968.8579328170606,DQM,15,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.8491441603461475,0.8574687988967213,4.987245395299147,1010.414178264213,DQM,25,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.8480451430329805,0.869199812878779,7.097895024502213,963.7409608261539,DQM,35,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.8448299411533908,0.8709641128986437,6.825013881545997,954.3491404662733,DQM,50,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.8435706938053354,0.8714747717250455,6.426300197472075,949.5216683391177,DQM,75,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.8408256147959452,0.872098491865243,6.4978483358357275,945.2864865856244,DQM,90,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.8426077784651745,0.8710869870871458,6.523001175788567,950.2450330580225,DQM,100,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.8429414026756491,0.8711643723510993,6.366194414225549,951.9164960205969,DQM,110,1980-05-01,1984-09-30,5,1985-05-01,1986-09-30,2
0.11450949927505494,0.9272654270007554,-2.566571605079807,751.0827715053591,Raw,raw,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
0.8454504924229447,0.8893511233152179,-0.8879535493795825,797.6056321944773,DQM,5,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
0.8552362658007021,0.8578476634631118,-3.1855507812961994,859.8653007521309,DQM,15,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
0.8747594686735147,0.8961591802565692,-1.2723147914743043,763.0123197515499,DQM,25,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
0.8785039300328525,0.8914715560067632,-1.1483763304318568,755.6914534605588,DQM,35,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
0.8796332766504096,0.8839213020169983,-1.650381629977059,771.0029839628711,DQM,50,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
0.878868453779186,0.8943822943464648,-1.0977868966010509,742.4901327513412,DQM,75,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
0.8775929069481694,0.8934490268198723,-1.267473380973337,746.6033904765752,DQM,90,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
0.8794182068666614,0.8888129278925816,-1.5594497667071447,756.9360329312057,DQM,100,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
0.8798183317772416,0.8891694006298514,-1.5123500687326612,760.9757982872437,DQM,110,1981-05-01,1985-09-30,5,1986-05-01,1987-09-30,2
-0.15418609962257812,0.9234850678363882,-2.6632304249204766,405.3386956736692,Raw,raw,1982-05-01,1986-09-30,5,1987-05-01,1988-09-30,2
0.8807732451726865,0.949140896470829,-3.9842909742260373,447.32108106417115,DQM,5,1982-05-01,1986-09-30,5,1987-05-01,1988-09-30,2
