nse,log_nse,kgeprime,kgenp,pbias,rmse,type,nq,test_year,n_train_years
0.8611321287481715,0.724880613944958,0.7123948305486771,0.5595472611912687,-3.509503443441775,199.84793549873044,Raw,raw,1979,9
0.9214699161627907,0.8201043201447205,0.8939344168948719,0.5912978368560526,-7.89863832817794,150.28540557371036,DQM,1,1979,9
0.8870223438693025,0.8468696169502026,0.8758920678671495,0.6638564404754417,-11.842856606432381,180.2582113542384,DQM,5,1979,9
0.8330431597889251,0.8424135610423542,0.8425110024529024,0.6455381951649357,-13.476408153990482,219.12951904612552,DQM,10,1979,9
0.7616294630052161,0.8314175082792946,0.8000396319244611,0.643796564352584,-15.804324363337084,261.8334116535888,DQM,15,1979,9
0.7729141037652641,0.8365698959690205,0.8062930474530552,0.6444182428650982,-15.196060623117987,255.56057592125381,DQM,20,1979,9
0.7751152039356148,0.8339112371138784,0.8075271363396641,0.6415005598658748,-15.209384894711192,254.31901013249168,DQM,25,1979,9
0.7950397945634855,0.8382468340283254,0.820261757208967,0.6483671433373852,-14.531109959116408,242.79154066513766,DQM,30,1979,9
0.7906878936347558,0.8388513798211906,0.8181615934925658,0.6507037098971304,-14.609464227839887,245.35558668930236,DQM,35,1979,9
0.7936745249976409,0.8372394022643901,0.8195453620477118,0.6457542982920845,-14.584873429650083,243.5988333033527,DQM,40,1979,9
0.8045531174556826,0.8372647663088931,0.8249380154699643,0.6458417074254373,-14.539457248217413,237.08995321921273,DQM,45,1979,9
0.7932971102810468,0.8377150483185327,0.8184283915094472,0.650741609643539,-14.616248728925294,243.82152945716095,DQM,50,1979,9
0.5511517481987678,-1.7353590281366102,0.6097619140320916,0.8711674564223584,0.6466861381110256,114.82136555392319,Raw,raw,1980,9
0.1640166780366722,-1.8289693432366394,0.2984728201194493,0.8563750068988705,-2.0546266750687354,156.70099178355335,DQM,1,1980,9
-0.21321786737290394,-1.7744650732174745,0.15446525922476073,0.8192953112936647,-6.4146277438730035,188.7740691318521,DQM,5,1980,9
-0.3074334253337301,-1.772173378934125,0.127311261327404,0.821472581165128,-6.2607859245987845,195.9669035524867,DQM,10,1980,9
-0.2724907658984559,-1.7959572526647598,0.13849053375563114,0.8193427558718845,-6.38401629325015,193.33044843181224,DQM,15,1980,9
-0.291429658703136,-1.7513068860623342,0.13531234314916785,0.8187920646803792,-6.6667473327924585,194.76383462784236,DQM,20,1980,9
-0.25895220599968605,-1.7614153436040856,0.1428408395930859,0.8208263315653829,-6.449002731864776,192.29923659318223,DQM,25,1980,9
-0.25710042226276775,-1.7805006422157477,0.13878869473158761,0.821027983885609,-6.20842450170227,192.15775876796377,DQM,30,1980,9
-0.260618737786134,-1.7739824017239694,0.14533148160737908,0.8199558276316119,-6.5186598089453796,192.42647208426493,DQM,35,1980,9
-0.24305554617387548,-1.7551938730927557,0.14846506872461196,0.8208813878725217,-6.341752711882941,191.081308389648,DQM,40,1980,9
-0.2582935086931317,-1.769967671996282,0.14228534756852063,0.8203289697703533,-6.3190988471552085,192.24892349896368,DQM,45,1980,9
-0.2770168819092671,-1.7692344932442383,0.13565036363726912,0.8192344390756208,-6.51678571856335,193.67397128454272,DQM,50,1980,9
0.5269090563536105,0.7612157661892663,0.6115360011106038,0.750551685669133,21.517427816821545,380.79958830634746,Raw,raw,1981,9
0.36598572212492597,0.6474257977896707,0.5765357931081765,0.73532714924452,21.678514038907952,440.8325680612945,DQM,1,1981,9
0.37328509437948865,0.6721109269799821,0.6098364535250571,0.7776184479376217,15.957645158437819,438.28758096703115,DQM,5,1981,9
0.4860809885253865,0.7145306982945427,0.6699235158697239,0.7930662182580839,15.303138549810472,396.8912230382703,DQM,10,1981,9
0.4769410217483875,0.7074596487689638,0.6676209161799262,0.796474378723021,14.661708433097159,400.40499214806624,DQM,15,1981,9
0.5228755575257864,0.7212291243788321,0.6964497178944187,0.8046361303494124,13.940203813175893,382.41946157688983,DQM,20,1981,9
0.5215039431823214,0.7195590092750036,0.6944223627263701,0.8036395380887363,14.148191712200369,382.96874761015647,DQM,25,1981,9
0.5163540445156976,0.7195125291678147,0.6896958590279023,0.8011601877772632,14.313569929921417,385.0241166228692,DQM,30,1981,9
0.5134141796534956,0.7166770069786934,0.6880158524104076,0.8010577543441115,14.428762319844132,386.19253740796216,DQM,35,1981,9
0.5106787706548614,0.7168703092223392,0.6881925981300747,0.8019892441441552,14.359244478823289,387.2765332723124,DQM,40,1981,9
0.5031483223895212,0.7114263446856615,0.6848534435503557,0.8008087180693036,14.248075705710626,390.245166993272,DQM,45,1981,9
0.5025892615920091,0.7134571072687056,0.6841897376129171,0.8007147448182393,14.294673324650361,390.4646584902487,DQM,50,1981,9
0.856639406252228,0.7104568642509377,0.7752984627312884,0.7410003031527849,22.06312161422154,305.43091755570947,Raw,raw,1982,9
0.8777899014648435,0.71233906837782,0.7526795754918252,0.7119504214135683,23.590156655401028,282.00164939890345,DQM,1,1982,9
0.8405532059074468,0.6842589107735125,0.6872523234396115,0.7562712243438333,17.143419306668648,322.1113270909769,DQM,5,1982,9
0.7289327924207175,0.6486887058694485,0.6219596138602318,0.763796772056423,11.727984072488216,419.9877200106826,DQM,10,1982,9
0.7291481688219651,0.6393676926642358,0.621239499308041,0.7628492935751423,12.654216951151069,419.82083627086604,DQM,15,1982,9
0.7842405626434625,0.6402654802499863,0.6551307375901443,0.7586266962738534,14.186094725376332,374.69940356802215,DQM,20,1982,9
0.7642134528543125,0.6444920483424792,0.6416937979453617,0.7642703407423559,13.428642784929398,391.70364481340783,DQM,25,1982,9
0.7500290492279276,0.6345946472712904,0.6302633889892717,0.7619856927464062,13.351746742104236,403.3136050347443,DQM,30,1982,9
0.7412411726559459,0.641569762672211,0.6256640967461857,0.762191734089561,13.029632457310473,410.34173320606544,DQM,35,1982,9
0.7170829227404776,0.6367021560719589,0.6122372993567353,0.7642386962466803,12.243866586167263,429.06953808667953,DQM,40,1982,9
0.7587194605186298,0.636209608246495,0.6374740452343153,0.7625307853626633,13.59991368063565,396.2408521449381,DQM,45,1982,9
0.7467632768697128,0.6415607570705235,0.629745571700445,0.7640905175541373,13.010081830360875,405.93962286843134,DQM,50,1982,9
0.7229406681299327,0.6069805181441976,0.5545884227143372,0.6635781368177609,-18.31604692743849,212.52776383576187,Raw,raw,1984,9
0.7750251017848453,0.6941471142803963,0.6134368205371281,0.6533853138758536,-24.309330395600377,191.5121418557492,DQM,1,1984,9
-0.7022770958945459,0.28176682897712013,0.36515103116042824,0.3955174427356495,-50.93350367120023,526.7983539669801,DQM,5,1984,9
0.6742588478623275,0.4871684800546584,0.5594057401217307,0.5205487256353486,-39.50829185158497,230.44410106405456,DQM,10,1984,9
0.6544646015547029,0.48131593158461017,0.5594080684764673,0.5180384539453748,-39.60925468294212,237.3425226777378,DQM,15,1984,9
0.6508954764973809,0.5130599100762094,0.559048267752533,0.5159506461661949,-40.007662950707,238.5651598973403,DQM,20,1984,9
0.6656828639703445,0.4969108330343197,0.5625432341899402,0.5230454115298486,-39.15711611393946,233.45791377828735,DQM,25,1984,9
0.6491552989831189,0.47940277408315257,0.5559117792842203,0.5134689112434163,-40.30197963624286,239.15900735751998,DQM,30,1984,9
0.6665863644759311,0.49707046493266505,0.5610326167626756,0.5223911855094225,-39.367913288644175,233.14223739836393,DQM,35,1984,9
0.6691645568093259,0.4995771033575135,0.5604589165069183,0.5201148093197137,-39.3308010824576,232.23907690178342,DQM,40,1984,9
0.656000640121108,0.5096787152048123,0.5597967798951966,0.519083066982529,-39.670259259062405,236.81439540969362,DQM,45,1984,9
0.6644288527254372,0.5035914926975411,0.5606873222752766,0.5188319325591977,-39.454196079910474,233.8953499718502,DQM,50,1984,9
0.5439994741762814,0.3945615681055602,0.5867786184865302,0.6486481227309395,30.293858479838153,390.3675123999534,Raw,raw,1985,9
0.6099803394451522,0.3433487862164166,0.6537522261665163,0.5960548802787125,31.59051248332457,361.02248017095235,DQM,1,1985,9
0.712226527197004,0.4077270555319007,0.7245132492633469,0.6615980542844444,26.01153164417393,310.1104308230968,DQM,5,1985,9
0.7331839381313726,0.39283574776481045,0.7330402098241535,0.6559294696559743,25.593203424712907,298.6049345647751,DQM,10,1985,9
0.748241698580794,0.394778833878608,0.7429646516795523,0.665701847245146,24.646348908554472,290.05669576886123,DQM,15,1985,9
0.7587607390439776,0.4046294740888987,0.7453007111008585,0.6710501024716149,24.43751557857944,283.9324239749345,DQM,20,1985,9
0.7579857177749978,0.39977104248520723,0.7450723668126517,0.6709102046267805,24.43243246337822,284.3881483256065,DQM,25,1985,9
0.7492399563865819,0.3792798473287171,0.7445127222959055,0.6592658486215164,24.417700531058884,289.48106637017935,DQM,30,1985,9
0.747616241338191,0.3806010564358031,0.74429771815046,0.6609171162456864,24.45116825491877,290.4167743106576,DQM,35,1985,9
0.7471371190490369,0.3788238161709375,0.7445995929424083,0.65877820743656,24.386383544231574,290.6923054605087,DQM,40,1985,9
0.7473672501782204,0.38297200303274703,0.7450749053228862,0.6609630757959467,24.334995104243966,290.55999545905763,DQM,45,1985,9
0.7493567855393191,0.381583283630035,0.7464459038756719,0.6628557577057095,24.186603004130724,289.41362387153794,DQM,50,1985,9
0.7028725091180904,0.8145768109700927,0.6265098319799612,0.7600149689529677,17.968291524173388,423.4791766140049,Raw,raw,1986,9
0.802009094974285,0.8772248138651876,0.7618905813228412,0.7730800787440768,15.806138595911973,345.68717112564354,DQM,1,1986,9
0.8758938569675846,0.7831796634468913,0.9019101194933042,0.7967098533268845,5.231721960360155,273.6889614791267,DQM,5,1986,9
0.8896479683473707,0.879933577427759,0.9181028174823128,0.8076598540836453,4.753546279886685,258.0778956403874,DQM,10,1986,9
0.8958473830021048,0.8793363259361667,0.9083763956842212,0.8003078507110415,5.412178093481655,250.72390057322022,DQM,15,1986,9
0.8905425282400773,0.8836352346953776,0.9149655237414956,0.8075195209740544,4.985544927812169,257.0297232067846,DQM,20,1986,9
0.8869117391142499,0.8835336358794389,0.9145202874057283,0.806516918342686,5.168563170678653,261.25788391507103,DQM,25,1986,9
0.8866098454299894,0.8831079343260889,0.915244634126775,0.8059267889280632,5.1871680668009486,261.60637073666635,DQM,30,1986,9
0.8873150774293685,0.8893168592123533,0.9117625306904219,0.8058757024432593,5.579677682608909,260.79156920132226,DQM,35,1986,9
0.8897200045275357,0.8865378110027908,0.914430995594925,0.804990286677044,5.3329851765740575,257.99364716542476,DQM,40,1986,9
0.8889902691104433,0.8805996599328776,0.9150143482259409,0.8043998403702414,5.004672229651747,258.8458265695152,DQM,45,1986,9
0.886876690796054,0.8852381221700996,0.910923420010146,0.8039481194216251,5.379591120880042,261.2983653055688,DQM,50,1986,9
0.8234357459768433,0.726882015081052,0.7905231755185725,0.8010254968340627,-11.031280208346699,131.74717404300966,Raw,raw,1988,9
0.731811154848679,0.8165222950556793,0.7979684339233437,0.7598476427164162,-18.54995479035669,162.37167528356488,DQM,1,1988,9
0.4625787660715799,0.7798730245350953,0.6664421130853437,0.6684466746247076,-29.186984735281495,229.85149210527717,DQM,5,1988,9
0.43853337352313804,0.7246987442198389,0.6538348089314576,0.6540579044927941,-30.47257179317219,234.93725489147735,DQM,10,1988,9
0.4161812027407056,0.7932294177040913,0.6413488301215096,0.6489575777653009,-31.39070211980848,239.56808064443382,DQM,15,1988,9
0.4095239385531262,0.7494281128597988,0.6421038429904236,0.6525292312412656,-30.94879891140433,240.93010186986197,DQM,20,1988,9
0.4073115284311173,0.8083651705758923,0.6393282391476687,0.6526358270907848,-31.100243948259912,241.38104126079787,DQM,25,1988,9
0.40460006143413485,0.7271675742909054,0.6388217151507474,0.6413688859485636,-31.682429258990986,241.9325534869046,DQM,30,1988,9
0.4276211213091996,0.808305652860783,0.6462055506987041,0.6569677680915333,-30.648664857889244,237.20930236178006,DQM,35,1988,9
0.42471771222007737,0.811441518290425,0.6458931672364452,0.6558850478916913,-30.74127968285644,237.8101670123925,DQM,40,1988,9
0.42599680436203946,0.8079325453205006,0.6453204998736415,0.65476655115784,-30.837883666483272,237.54564436765935,DQM,45,1988,9
0.41675348758000197,0.8137071589393514,0.6444756558370677,0.6554349237762873,-30.7100071962566,239.45063427596844,DQM,50,1988,9
0.6341971744394188,-1.5998633681983412,0.6056977392834899,0.744783793130441,13.535558250470583,649.5838267255508,Raw,raw,1989,9
0.7290209952383724,-2.080902285624035,0.7054532086506397,0.8070625248511771,8.4293712156059,559.0871327022819,DQM,1,1989,9
0.7425334830016073,-2.688433748759228,0.7900011312950523,0.8437417006096821,3.362201445763169,544.9693210423844,DQM,5,1989,9
0.7261797515491886,-2.5622451571608336,0.8071607734602928,0.8347062806941655,2.033924836235764,562.0105336705541,DQM,10,1989,9
0.7414767165718826,-2.052175993825494,0.7934011179753226,0.8389054221165534,3.7830435583354785,546.0865838849568,DQM,15,1989,9
0.7469776040578213,-1.9317016520982402,0.7825475033946478,0.8418098045283685,4.558822120361037,540.2454991415476,DQM,20,1989,9
0.7399196569919445,-1.9139823228859805,0.7925307147076448,0.8408511833211105,3.8401968608513615,547.7286272535262,DQM,25,1989,9
0.734536652469937,-1.913105245703853,0.797420833735742,0.839965585208601,3.3834291941472996,553.3678948670479,DQM,30,1989,9
0.7305200535897732,-1.8914153486385525,0.8031201320864916,0.8380081931077661,2.7875342025803547,557.5385504542419,DQM,35,1989,9
0.7320269500521397,-1.8757301425384454,0.8039021611431514,0.8393723286313186,2.8583469108645,555.9775239622801,DQM,40,1989,9
0.7373082018976327,-1.8566135674387612,0.7982357698212571,0.8394543354365831,3.393396453350999,550.471618216223,DQM,45,1989,9
0.7390027823865581,-1.84037169684769,0.7962508324192769,0.8405590962009968,3.5604097254313247,548.6932457923684,DQM,50,1989,9
0.3995972800591502,0.5426007419727595,0.5670067351999377,0.6557298178984878,31.409127785620363,419.89371546468277,Raw,raw,1990,9
0.275401624840356,0.4385616769375571,0.5312206004720887,0.581491628473005,33.63878572099737,461.2822325980535,DQM,1,1990,9
-0.05755521204370617,0.09429596631349213,0.40997549236420494,0.645294801472184,20.39828233927747,557.2750173816637,DQM,5,1990,9
-0.42160079341426404,0.1455907106624721,0.25016285429597584,0.6571952716660467,20.223792155580128,646.1106172975385,DQM,10,1990,9
0.4156045387504914,0.3853118606862528,0.6202607284150735,0.6678407603854417,25.268730336305435,414.25853621178817,DQM,15,1990,9
0.45866510349216427,0.4069895434224402,0.6376095825530549,0.6654790249809661,26.170736554502035,398.7044301037729,DQM,20,1990,9
0.4633722804743289,0.4015145471575713,0.6388322906779355,0.664391673737237,26.153209271922357,396.96717832919643,DQM,25,1990,9
0.4575859397743778,0.4135837831069282,0.6341593830314284,0.664735830076046,26.71450676945812,399.1016455191678,DQM,30,1990,9
0.4702659536608408,0.41882658883216706,0.640432632847649,0.6672934316082421,26.588032551855004,394.4091595519118,DQM,35,1990,9
0.4601451213080887,0.4615364806933039,0.633653811590984,0.6712158760786513,26.86902958385225,398.1590250832694,DQM,40,1990,9
0.475399623774018,0.46976806618473566,0.6398816424773108,0.6741368962713616,26.707908007267108,392.4933907210421,DQM,45,1990,9
0.4747005820640884,0.48057227714372286,0.6393900842001418,0.6724277012364821,26.76010148842871,392.75480676597266,DQM,50,1990,9
