nse,kgeprime,kgenp,pbias,rmse,type,N_quantiles,train_start,train_end,test_start,test_end
0.6171436186657657,0.5479051776486008,0.6909565489434905,-24.380539643138814,173.70694569876758,Raw,raw,1980-05-01,1985-09-30,1986-05-01,1987-09-30
0.6758042177764882,0.7601946760743006,0.7387215290684097,12.769084218283862,168.2274475349482,DQM,5,1980-05-01,1985-09-30,1986-05-01,1987-09-30
0.5998405071478021,0.7911025491531708,0.7350642902997148,3.7607953106642524,185.35909322987797,DQM,30,1980-05-01,1985-09-30,1986-05-01,1987-09-30
0.6191522402664544,0.7952473868174968,0.7213050052446436,5.087723648671008,180.07861261337553,DQM,55,1980-05-01,1985-09-30,1986-05-01,1987-09-30
0.614449599572175,0.7878684800225688,0.7112274816600335,6.5029942745810025,182.19044107998823,DQM,80,1980-05-01,1985-09-30,1986-05-01,1987-09-30
0.6162629361299217,0.7795740814224184,0.7169118768139177,8.099378928659295,182.12497279020064,DQM,105,1980-05-01,1985-09-30,1986-05-01,1987-09-30
0.5962362972532699,0.7008646937525428,0.7539259227555323,-15.516795281861157,125.36834705895188,Raw,raw,1981-05-01,1986-09-30,1987-05-01,1988-09-30
0.36110645727841706,0.4938652447219116,0.6756102449590988,5.766833631522693,169.33610741688813,DQM,5,1981-05-01,1986-09-30,1987-05-01,1988-09-30
0.4839341377456211,0.5187959829325746,0.6836149645337983,11.849378170765805,150.03302301045434,DQM,30,1981-05-01,1986-09-30,1987-05-01,1988-09-30
0.42143654519811513,0.44080210943555564,0.6372397759844028,14.10504998555142,158.89021891382524,DQM,55,1981-05-01,1986-09-30,1987-05-01,1988-09-30
0.44573622706296256,0.42723957485664665,0.6326274862709654,17.215528190112483,154.8387246226659,DQM,80,1981-05-01,1986-09-30,1987-05-01,1988-09-30
0.3845530407988901,0.470582791341818,0.6579164417418095,11.903340063325581,163.1719572567258,DQM,105,1981-05-01,1986-09-30,1987-05-01,1988-09-30
0.46251801449954677,0.4646033652093138,0.7253078425305276,-13.10515421515392,298.2604399222372,Raw,raw,1982-05-01,1987-09-30,1988-05-01,1989-09-30
0.5380377303697039,0.6036291143274806,0.6976764256767639,7.2983537294809775,293.5460063046101,DQM,5,1982-05-01,1987-09-30,1988-05-01,1989-09-30
0.6170272334138562,0.6718310227867835,0.7076330081919553,13.77622333650924,267.70822006462464,DQM,30,1982-05-01,1987-09-30,1988-05-01,1989-09-30
0.5675741979828424,0.6612823436813633,0.7316991435385528,7.524682387689407,282.04182975112184,DQM,55,1982-05-01,1987-09-30,1988-05-01,1989-09-30
0.6027756952155658,0.6656853304084662,0.7027090481845533,13.933771750174246,271.68198671044917,DQM,80,1982-05-01,1987-09-30,1988-05-01,1989-09-30
0.5955529665595262,0.6770666075112413,0.7204351875241961,7.616394622882424,274.67722241501343,DQM,105,1982-05-01,1987-09-30,1988-05-01,1989-09-30
0.4405715986320473,0.4538205774908236,0.7468816975842263,-2.5167066544014407,334.5789790598717,Raw,raw,1983-05-01,1988-09-30,1989-05-01,1990-09-30
0.5523696589760707,0.5694847207779448,0.7326847272857295,10.09953096235331,303.22326963874,DQM,5,1983-05-01,1988-09-30,1989-05-01,1990-09-30
0.5521251792400921,0.5746920880848763,0.7474400881225424,11.22227781733677,302.84693469204996,DQM,30,1983-05-01,1988-09-30,1989-05-01,1990-09-30
0.5535529859947239,0.5800552191610826,0.7368298932076005,13.141514044110398,302.9389260406187,DQM,55,1983-05-01,1988-09-30,1989-05-01,1990-09-30
0.5452024865570209,0.5955877130459273,0.7299795185616464,13.303623937860015,306.24309567828635,DQM,80,1983-05-01,1988-09-30,1989-05-01,1990-09-30
0.5461507011728046,0.5907880625170451,0.7318551758226366,13.456631523745925,305.39080785053784,DQM,105,1983-05-01,1988-09-30,1989-05-01,1990-09-30
0.46919598087830316,0.49278649905157734,0.7601340818554939,6.631749759214573,231.433871198707,Raw,raw,1984-05-01,1989-09-30,1990-05-01,1991-05-21
0.31045344244251105,0.5188503675016849,0.7122536474078345,21.606446468825617,263.7798493633572,DQM,5,1984-05-01,1989-09-30,1990-05-01,1991-05-21
0.31708244501252303,0.5209000908098644,0.6778079680818488,24.756169958394416,263.3741891779635,DQM,30,1984-05-01,1989-09-30,1990-05-01,1991-05-21
0.31749494669917977,0.5195696099647704,0.6764803428868021,25.368908472309,263.76329500470706,DQM,55,1984-05-01,1989-09-30,1990-05-01,1991-05-21
0.35319894427787235,0.5459941870627678,0.6941590110665843,23.819442916161794,255.47310042018168,DQM,80,1984-05-01,1989-09-30,1990-05-01,1991-05-21
0.3409511031013013,0.5299800034210496,0.6843661398910769,25.135069451122654,257.88057939888074,DQM,105,1984-05-01,1989-09-30,1990-05-01,1991-05-21
0.42405313525667643,0.5196358504176364,0.5363058546311672,42.93862626230655,272.79883894979196,Raw,raw,1985-05-01,1990-09-30,1991-05-01,1992-09-30
0.02487163028854633,0.2814088650521064,0.317615197258889,55.0614543577547,339.21453923366533,DQM,5,1985-05-01,1990-09-30,1991-05-01,1992-09-30
0.07637522329703084,0.25922183213241645,0.347340845855435,54.6743291872325,356.00494524025146,DQM,30,1985-05-01,1990-09-30,1991-05-01,1992-09-30
0.06497765188135829,0.28245125712742747,0.35675964167305896,54.606077100476114,356.1980353874815,DQM,55,1985-05-01,1990-09-30,1991-05-01,1992-09-30
0.04359075029802373,0.2700662802089274,0.344163571849216,55.085008630176176,361.28274631963257,DQM,80,1985-05-01,1990-09-30,1991-05-01,1992-09-30
0.03415949578922428,0.25746513775959623,0.3400806167161119,54.73046424207971,363.6799374015083,DQM,105,1985-05-01,1990-09-30,1991-05-01,1992-09-30
0.4271028207168295,0.5201663785947577,0.5362632152343929,42.921122794532856,272.0186014429075,Raw,raw,1986-05-01,1991-05-21,1992-05-01,1993-05-22
