datetime,q_raw
1979-06-29 12:00:00,1159.65625
1979-06-30 12:00:00,1073.125
1979-07-01 12:00:00,991
1979-07-02 12:00:00,915.90625
1979-07-03 12:00:00,848.546875
1979-07-04 12:00:00,794.90625
1979-07-05 12:00:00,759.828125
1979-07-06 12:00:00,730.921875
1979-07-07 12:00:00,700.796875
1979-07-08 12:00:00,668.34375
1979-07-09 12:00:00,632.984375
1979-07-10 12:00:00,596.953125
1979-07-11 12:00:00,561
1979-07-12 12:00:00,527.78125
1979-07-13 12:00:00,502.4375
1979-07-14 12:00:00,485.703125
1979-07-15 12:00:00,475.625
1979-07-16 12:00:00,465.375
1979-07-17 12:00:00,450.875
1979-07-18 12:00:00,432.703125
1979-07-19 12:00:00,419.234375
1979-07-20 12:00:00,417.65625
1979-07-21 12:00:00,430.140625
1979-07-22 12:00:00,451.71875
1979-07-23 12:00:00,472.765625
1979-07-24 12:00:00,493.1875
1979-07-25 12:00:00,500.0625
1979-07-26 12:00:00,489.375
1979-07-27 12:00:00,493.0625
1979-07-28 12:00:00,517.484375
1979-07-29 12:00:00,537.734375
1979-07-30 12:00:00,547.609375
1979-07-31 12:00:00,550.390625
1979-08-01 12:00:00,546.453125
1979-08-02 12:00:00,531.828125
1979-08-03 12:00:00,511.546875
1979-08-04 12:00:00,491.734375
1979-08-05 12:00:00,479.6875
1979-08-06 12:00:00,484.3125
1979-08-07 12:00:00,504.65625
1979-08-08 12:00:00,526.140625
1979-08-09 12:00:00,530.109375
1979-08-10 12:00:00,512.359375
1979-08-11 12:00:00,484.421875
1979-08-12 12:00:00,457.375
1979-08-13 12:00:00,445.53125
1979-08-14 12:00:00,457.640625
1979-08-15 12:00:00,466.25
1979-08-16 12:00:00,456.0625
1979-08-17 12:00:00,441.4375
1979-08-18 12:00:00,428.90625
1979-08-19 12:00:00,409.671875
1979-08-20 12:00:00,389.171875
1979-08-21 12:00:00,379.890625
1979-08-22 12:00:00,386.125
1979-08-23 12:00:00,394.546875
1979-08-24 12:00:00,403.4375
1979-08-25 12:00:00,438.328125
1979-08-26 12:00:00,500.2734375
1979-08-27 12:00:00,558.7578125
1979-08-28 12:00:00,591.4140625
1979-08-29 12:00:00,591.609375
1979-08-30 12:00:00,571.6015625
1979-08-31 12:00:00,542.7265625
1979-09-01 12:00:00,511.9140625
1979-09-02 12:00:00,484.4453125
1979-09-03 12:00:00,460.0546875
1979-09-04 12:00:00,441.171875
1979-09-05 12:00:00,426.71875
1979-09-06 12:00:00,413.5703125
1979-09-07 12:00:00,419.6640625
1979-09-08 12:00:00,469.6875
1979-09-09 12:00:00,524.6171875
1979-09-10 12:00:00,536.2265625
1979-09-11 12:00:00,512.359375
1979-09-12 12:00:00,481.015625
1979-09-13 12:00:00,449.2578125
1979-09-14 12:00:00,413.7109375
1979-09-15 12:00:00,375.5234375
1979-09-16 12:00:00,340.3671875
1979-09-17 12:00:00,316.890625
1979-09-18 12:00:00,302.1640625
1979-09-19 12:00:00,284.1640625
1979-09-20 12:00:00,264.125
1979-09-21 12:00:00,243.6015625
1979-09-22 12:00:00,220.2734375
1979-09-23 12:00:00,196.8046875
1979-09-24 12:00:00,177.859375
1979-09-25 12:00:00,162.9375
1979-09-26 12:00:00,149.8515625
1979-09-27 12:00:00,137.265625
1979-09-28 12:00:00,125.2265625
1979-09-29 12:00:00,116.2578125
1979-09-30 12:00:00,115.8984375
1979-10-01 12:00:00,124.9140625
1979-10-02 12:00:00,132.65625
1979-10-03 12:00:00,130.59375
1979-10-04 12:00:00,122.328125
1979-10-05 12:00:00,113.2890625
1979-10-06 12:00:00,105.6953125
1979-10-07 12:00:00,98.5703125
1979-10-08 12:00:00,91.765625
1979-10-09 12:00:00,85.0234375
1979-10-10 12:00:00,78.1015625
1979-10-11 12:00:00,71.25
1979-10-12 12:00:00,64.75
1979-10-13 12:00:00,58.5078125
1979-10-14 12:00:00,52.59375
1979-10-15 12:00:00,47.1328125
1979-10-16 12:00:00,42.1875
1979-10-17 12:00:00,37.828125
1979-10-18 12:00:00,33.96875
1979-10-19 12:00:00,30.453125
1979-10-20 12:00:00,27.1875
1979-10-21 12:00:00,24.203125
1979-10-22 12:00:00,21.4375
1979-10-23 12:00:00,18.859375
1979-10-24 12:00:00,16.4375
1979-10-25 12:00:00,14.2265625
1979-10-26 12:00:00,12.28125
1979-10-27 12:00:00,10.5703125
1979-10-28 12:00:00,9.0546875
1979-10-29 12:00:00,7.71875
1979-10-30 12:00:00,6.5625
1979-10-31 12:00:00,5.5546875
1979-11-01 12:00:00,4.71875
1979-11-02 12:00:00,4.0234375
1979-11-03 12:00:00,3.4453125
1979-11-04 12:00:00,2.9609375
1979-11-05 12:00:00,2.5546875
1979-11-06 12:00:00,2.203125
1979-11-07 12:00:00,1.8984375
1979-11-08 12:00:00,1.640625
1979-11-09 12:00:00,1.421875
1979-11-10 12:00:00,1.2265625
1979-11-11 12:00:00,1.0625
1979-11-12 12:00:00,0.9296875
1979-11-13 12:00:00,0.8125
1979-11-14 12:00:00,0.7109375
1979-11-15 12:00:00,0.6171875
1979-11-16 12:00:00,0.5390625
1979-11-17 12:00:00,0.4609375
1979-11-18 12:00:00,0.3984375
1979-11-19 12:00:00,0.3515625
1979-11-20 12:00:00,0.3125
1979-11-21 12:00:00,0.28125
1979-11-22 12:00:00,0.25
1979-11-23 12:00:00,0.2265625
1979-11-24 12:00:00,0.203125
1979-11-25 12:00:00,0.1875
1979-11-26 12:00:00,0.15625
1979-11-27 12:00:00,0.140625
1979-11-28 12:00:00,0.125
1979-11-29 12:00:00,0.109375
1979-11-30 12:00:00,0.09375
1979-12-01 12:00:00,0.09375
1979-12-02 12:00:00,0.078125
1979-12-03 12:00:00,0.0625
1979-12-04 12:00:00,0.0625
1979-12-05 12:00:00,0.046875
1979-12-06 12:00:00,0.046875
1979-12-07 12:00:00,0.046875
1979-12-08 12:00:00,0.03125
1979-12-09 12:00:00,0.03125
1979-12-10 12:00:00,0.03125
1979-12-11 12:00:00,0.03125
1979-12-12 12:00:00,0.03125
1979-12-13 12:00:00,0.015625
1979-12-14 12:00:00,0.015625
1979-12-15 12:00:00,0.015625
1979-12-16 12:00:00,0.015625
1979-12-17 12:00:00,0.015625
1979-12-18 12:00:00,0
1979-12-19 12:00:00,0
1979-12-20 12:00:00,0
1979-12-21 12:00:00,0
1979-12-22 12:00:00,0
1979-12-23 12:00:00,0
1979-12-24 12:00:00,0
1979-12-25 12:00:00,0
1979-12-26 12:00:00,0
1979-12-27 12:00:00,0
1979-12-28 12:00:00,0
1979-12-29 12:00:00,0
1979-12-30 12:00:00,0
1979-12-31 12:00:00,0
1980-01-01 12:00:00,0
1980-01-02 12:00:00,0
1980-01-03 12:00:00,0
1980-01-04 12:00:00,0
1980-01-05 12:00:00,0
1980-01-06 12:00:00,0
1980-01-07 12:00:00,0
1980-01-08 12:00:00,0
1980-01-09 12:00:00,0
1980-01-10 12:00:00,0
1980-01-11 12:00:00,0
1980-01-12 12:00:00,0
1980-01-13 12:00:00,0
1980-01-14 12:00:00,0
1980-01-15 12:00:00,0
1980-01-16 12:00:00,0
1980-01-17 12:00:00,0
1980-01-18 12:00:00,0
1980-01-19 12:00:00,0
1980-01-20 12:00:00,0
1980-01-21 12:00:00,0
1980-01-22 12:00:00,0
1980-01-23 12:00:00,0
1980-01-24 12:00:00,0
1980-01-25 12:00:00,0
1980-01-26 12:00:00,0
1980-01-27 12:00:00,0
1980-01-28 12:00:00,0
1980-01-29 12:00:00,0
1980-01-30 12:00:00,0
1980-01-31 12:00:00,0
1980-02-01 12:00:00,0
1980-02-02 12:00:00,0
1980-02-03 12:00:00,0
1980-02-04 12:00:00,0
1980-02-05 12:00:00,0
1980-02-06 12:00:00,0
1980-02-07 12:00:00,0
1980-02-08 12:00:00,0
1980-02-09 12:00:00,0
1980-02-10 12:00:00,0
1980-02-11 12:00:00,0
1980-02-12 12:00:00,0
1980-02-13 12:00:00,0
1980-02-14 12:00:00,0
1980-02-15 12:00:00,0
1980-02-16 12:00:00,0
1980-02-17 12:00:00,0
1980-02-18 12:00:00,0
1980-02-19 12:00:00,0
1980-02-20 12:00:00,0
1980-02-21 12:00:00,0
1980-02-22 12:00:00,0
1980-02-23 12:00:00,0
1980-02-24 12:00:00,0
1980-02-25 12:00:00,0
1980-02-26 12:00:00,0
1980-02-27 12:00:00,0
1980-02-28 12:00:00,0
1980-02-29 12:00:00,0
1980-03-01 12:00:00,0
1980-03-02 12:00:00,0
1980-03-03 12:00:00,0
1980-03-04 12:00:00,0
1980-03-05 12:00:00,0
1980-03-06 12:00:00,0
1980-03-07 12:00:00,0
1980-03-08 12:00:00,0
1980-03-09 12:00:00,0
1980-03-10 12:00:00,0
1980-03-11 12:00:00,0
1980-03-12 12:00:00,0
1980-03-13 12:00:00,0
1980-03-14 12:00:00,0
1980-03-15 12:00:00,0
1980-03-16 12:00:00,0
1980-03-17 12:00:00,0
1980-03-18 12:00:00,0
1980-03-19 12:00:00,0
1980-03-20 12:00:00,0
1980-03-21 12:00:00,0
1980-03-22 12:00:00,0
1980-03-23 12:00:00,0
1980-03-24 12:00:00,0
1980-03-25 12:00:00,0
1980-03-26 12:00:00,0
1980-03-27 12:00:00,0
1980-03-28 12:00:00,0
1980-03-29 12:00:00,0
1980-03-30 12:00:00,0
1980-03-31 12:00:00,0
1980-04-01 12:00:00,0
1980-04-02 12:00:00,0
1980-04-03 12:00:00,0
1980-04-04 12:00:00,0
1980-04-05 12:00:00,0
1980-04-06 12:00:00,0
1980-04-07 12:00:00,0
1980-04-08 12:00:00,0
1980-04-09 12:00:00,0
1980-04-10 12:00:00,0
1980-04-11 12:00:00,0
1980-04-12 12:00:00,0
1980-04-13 12:00:00,0
1980-04-14 12:00:00,0
1980-04-15 12:00:00,0
1980-04-16 12:00:00,0
1980-04-17 12:00:00,0
1980-04-18 12:00:00,0
1980-04-19 12:00:00,0
1980-04-20 12:00:00,0
1980-04-21 12:00:00,0
1980-04-22 12:00:00,0
1980-04-23 12:00:00,0
1980-04-24 12:00:00,0
1980-04-25 12:00:00,0
1980-04-26 12:00:00,0
1980-04-27 12:00:00,0
1980-04-28 12:00:00,0
1980-04-29 12:00:00,0
1980-04-30 12:00:00,0
1980-05-01 12:00:00,0
1980-05-02 12:00:00,0
1980-05-03 12:00:00,0
1980-05-04 12:00:00,0
1980-05-05 12:00:00,0
1980-05-06 12:00:00,0
1980-05-07 12:00:00,0
1980-05-08 12:00:00,0
1980-05-09 12:00:00,0
1980-05-10 12:00:00,0
1980-05-11 12:00:00,0
1980-05-12 12:00:00,0
1980-05-13 12:00:00,0
1980-05-14 12:00:00,0
1980-05-15 12:00:00,0
1980-05-16 12:00:00,0
1980-05-17 12:00:00,0.09375
1980-05-18 12:00:00,0.59375
1980-05-19 12:00:00,4.0625
1980-05-20 12:00:00,24.828125
1980-05-21 12:00:00,81.71875
1980-05-22 12:00:00,142.390625
1980-05-23 12:00:00,203.265625
1980-05-24 12:00:00,264
1980-05-25 12:00:00,310.71875
1980-05-26 12:00:00,346.765625
1980-05-27 12:00:00,384.9375
1980-05-28 12:00:00,440.96875
1980-05-29 12:00:00,521.609375
1980-05-30 12:00:00,606.328125
1980-05-31 12:00:00,674.4375
1980-06-01 12:00:00,736.734375
1980-06-02 12:00:00,806.125
1980-06-03 12:00:00,862.65625
1980-06-04 12:00:00,894.125
1980-06-05 12:00:00,889.921875
1980-06-06 12:00:00,856.5625
1980-06-07 12:00:00,814.71875
1980-06-08 12:00:00,776.6875
1980-06-09 12:00:00,749.0625
1980-06-10 12:00:00,736.09375
1980-06-11 12:00:00,737.953125
1980-06-12 12:00:00,750.65625
1980-06-13 12:00:00,774
1980-06-14 12:00:00,809.84375
1980-06-15 12:00:00,846.28125
1980-06-16 12:00:00,862.46875
1980-06-17 12:00:00,853.5
1980-06-18 12:00:00,820.53125
1980-06-19 12:00:00,775.859375
1980-06-20 12:00:00,737.390625
1980-06-21 12:00:00,718.921875
1980-06-22 12:00:00,710.90625
1980-06-23 12:00:00,691.765625
1980-06-24 12:00:00,658.0625
1980-06-25 12:00:00,615.796875
1980-06-26 12:00:00,572.21875
1980-06-27 12:00:00,535.671875
1980-06-28 12:00:00,506.6875
1980-06-29 12:00:00,480.0625
1980-06-30 12:00:00,453.96875
1980-07-01 12:00:00,428
1980-07-02 12:00:00,405.5
1980-07-03 12:00:00,389.46875
1980-07-04 12:00:00,372.328125
1980-07-05 12:00:00,350.96875
1980-07-06 12:00:00,328.90625
1980-07-07 12:00:00,310.78125
1980-07-08 12:00:00,294.953125
1980-07-09 12:00:00,280.125
1980-07-10 12:00:00,270.921875
1980-07-11 12:00:00,263.265625
1980-07-12 12:00:00,264.953125
1980-07-13 12:00:00,276.15625
1980-07-14 12:00:00,288.953125
1980-07-15 12:00:00,299.875
1980-07-16 12:00:00,307.8125
1980-07-17 12:00:00,317.46875
1980-07-18 12:00:00,327.71875
1980-07-19 12:00:00,330.65625
1980-07-20 12:00:00,327.015625
1980-07-21 12:00:00,334.484375
1980-07-22 12:00:00,352.71875
1980-07-23 12:00:00,382.15625
1980-07-24 12:00:00,407.875
1980-07-25 12:00:00,410.25
1980-07-26 12:00:00,406.34375
1980-07-27 12:00:00,415.90625
1980-07-28 12:00:00,434.171875
1980-07-29 12:00:00,451.03125
1980-07-30 12:00:00,475.328125
1980-07-31 12:00:00,528.5
1980-08-01 12:00:00,599.296875
1980-08-02 12:00:00,644.671875
1980-08-03 12:00:00,646.875
1980-08-04 12:00:00,619.734375
1980-08-05 12:00:00,583.25
1980-08-06 12:00:00,559.84375
1980-08-07 12:00:00,565.59375
1980-08-08 12:00:00,589.671875
1980-08-09 12:00:00,608.421875
1980-08-10 12:00:00,602.5
1980-08-11 12:00:00,574.15625
1980-08-12 12:00:00,537.1015625
1980-08-13 12:00:00,500.625
1980-08-14 12:00:00,467.15625
1980-08-15 12:00:00,431.484375
1980-08-16 12:00:00,392.140625
1980-08-17 12:00:00,365.1875
1980-08-18 12:00:00,363.65625
1980-08-19 12:00:00,379
1980-08-20 12:00:00,382.921875
1980-08-21 12:00:00,365.203125
1980-08-22 12:00:00,349.078125
1980-08-23 12:00:00,340.46875
1980-08-24 12:00:00,307.8203125
1980-08-25 12:00:00,276.890625
1980-08-26 12:00:00,256.984375
1980-08-27 12:00:00,242.765625
1980-08-28 12:00:00,227.875
1980-08-29 12:00:00,211.234375
1980-08-30 12:00:00,194.046875
1980-08-31 12:00:00,178.765625
1980-09-01 12:00:00,168.2109375
1980-09-02 12:00:00,164.578125
1980-09-03 12:00:00,169.59375
1980-09-04 12:00:00,175.203125
1980-09-05 12:00:00,170.2265625
1980-09-06 12:00:00,158.921875
1980-09-07 12:00:00,146.75
1980-09-08 12:00:00,135.0859375
1980-09-09 12:00:00,124.34375
1980-09-10 12:00:00,114.65625
1980-09-11 12:00:00,105.8359375
1980-09-12 12:00:00,97.59375
1980-09-13 12:00:00,89.8984375
1980-09-14 12:00:00,83.15625
1980-09-15 12:00:00,76.9140625
1980-09-16 12:00:00,70.9921875
1980-09-17 12:00:00,65.6484375
1980-09-18 12:00:00,60.734375
1980-09-19 12:00:00,55.84375
1980-09-20 12:00:00,51.0078125
1980-09-21 12:00:00,46.578125
1980-09-22 12:00:00,42.7421875
1980-09-23 12:00:00,40.0234375
1980-09-24 12:00:00,39.015625
1980-09-25 12:00:00,39.53125
1980-09-26 12:00:00,40.7578125
1980-09-27 12:00:00,41.0703125
